completion,prompt
 no bro, bro did u get it?
 1st part that how  program  are countable, which part u did not understand?
 no problem bro, give me 5 minutes
 bro i got everything except that how you concluded that set is finite if string is finite, i don't what is something lex order which sir mentioned in the class
 yes, this part
 finite, 10^100 is it finite or infinite
 yaa it seems correct, i thought like this this maybe wrong
 not all, for environmental chemistry should we read those tables also?
 by the way where are you from, hmm ok bro thank you
 up, what about you
 😅😅, maybe more than 15 telugu people
 hii, hello bro
 today one??, like what are they asking
 asking for what values of n p(n) should be true, yaa
 and like that it is true for all odd natural no, thanks
 means, u said the answer
 😁😁, why would i think like that😶
 sir saying yesterday that odd number questions have answer backside of book, 😳
 ohh ok, i didnt check it
 ok thanks🙂🙂, you can get it in net
 bro i am not getting it, i have seen solutions for some of the questions in that book
 thank you very much, this is for 7th edition
 you are great bro🙂🙂, don't consider this
 bro in your area does people know hindi??😅😅, 
 no bro i am asking for my convenience, u can talk to me in hindi
 no problem bro, but u can understand me
 no bro, u can talk in hindi
 wow, i hope u understand😅
 yaa i had seen this when a bhaiya called me and i talk to him in hindi and he understands, maybe they can't talk but atleast they can understand u
 and speaks too😅😅, hmm
 ok bro good night then, 💪
 , did u get the 7th question mentioned in the tutoial in llm book
 🙂🙂, haa
 👍👍👍, u bro?
 yes, done prep?
 ohh, a little maybe
 how is your prep??, in net
 padh to mai bhi rha bhai, maths is not my cup of tea
 not really, test 1 portion revise kiya?
 haa , aaj ka exam me voh bhi aa saktha hai
 wahi jaise sir btae the, 
 yes they asked, they asked funtion
 but in solution also not given, 
 yes it is ques of rosen, solution?
 yes, can we say this set is subset of rational
 yes, i dont think function is needed
 yaa, maybe its an example of like two varaible bijection func
 very hard bro🥲🥲, how was the paper
 bro did you remember the key word sir used to type in compiler for debugging stuff on wednesday, me too bro😭😭
 something like this, gcu ?
 why sorry bro😁😁, iam sorry
 setting up vs code in my pc, what r u doing
 yaa this is only option for debugging🙄🙄, i should also do this
 if your work is going on without debugging then no problem, actually i just woke up
 tumhari neend kharab kar diya, ❓❓
 when, did u participate in sterdays debate session
 ohh, i didn't
 yaa i got message about 3 days ago🥲🥲, debate was about virat kohli
 never, u?
 it's very boring😅😅, any sport u watch
 what we get in watching any sports🤣🤣, ?
 itna bhi nhi, r u a bookworm
 😁😁, 😓
 i should watch hollywood na??, kdrama rarely
 yaa, there are some sci fi movies
 what is sunshine buddy program ??, bye
 so, who are interested in sunshine
 ok, no
 maybe🙄🙄, u?
 not anyone bro, u?
 ohh🙄🙄, todays my grandma death anniversary
 you are not at home now??, home
 kk, yaa
 ok, sry bro
 i haven't seen yet, physics assignment which is due on feb 1 is it on only blackbody radiation?
 i couldn't solve it, bro could u explain hackathon 1 3rd q approach 1
 nope🙄🙄, did u try 4th question of lab 7
 sir didn't teaches us, swapping pointers sir didint say in the class right?
 so maybe they ask, yaa
 we can do one thing, he mentioned it as trivial
 yes, solutions
 what is trivial, i didnt get what r u asking?
 ohh, 
 thanks bro🙂🙂, double pointers it is clearly mentioned here
 bro do you know long int??, 
 ohh, to be
 yaa i heard in lab session also, just to check program
 yaa i also thinking same, sry i wasnt feeling well
 ohh, tommorrow
 yaa, everyone in the family has fever right now
 copied from previous start code, how do you write input handler
 what do you mean by input handler, ok then how do you check cases
 on server cases are given, u give the inputs wrote
 you mean by start code??, but now we have to do no
 , yaa start code while(scanf
 then see the start code i sent, this is the input handler right?
 you not need to give input , but we havent given any input
 yes, sir said it wil just check the output without checking any code no?
 yes, if test cases pass then it will give evaluation
 yes, we havent given any input no?
 🙂🙂, anyway thank you bro
 yes, is this right?
 bro, yaa
 yes, in the instructions it was mentioned
 but i am confirming because i forget it many times till now, hackathon instructions
 you also take care, 👍
 we are friends na, going to aleep
 yes bro, bro r u there
 i think it mean that problem goes executing till scanf return -1, what is the meaing of this statemnt
 yes, like the array starts from 0 should the heap blocks also start from 0
 we not need to free pointer if whole program in main??, k bro
 ok, thats for sure
 haa, bro
 1st ques??, is this crt?
 ptr is array, ha
